Date,Year,Month,Day,Day_of_week,Day_name,Is_weekend,Quarter
1/1/19,2019,1,1,3,Tue,No,Q1
1/2/19,2019,1,2,4,Wed,No,Q1
1/3/19,2019,1,3,5,Thu,No,Q1
1/4/19,2019,1,4,6,Fri,No,Q1
1/5/19,2019,1,5,7,Sat,Yes,Q1
1/6/19,2019,1,6,1,Sun,Yes,Q1
1/7/19,2019,1,7,2,Mon,No,Q1
1/8/19,2019,1,8,3,Tue,No,Q1
1/9/19,2019,1,9,4,Wed,No,Q1
1/10/19,2019,1,10,5,Thu,No,Q1
1/11/19,2019,1,11,6,Fri,No,Q1
1/12/19,2019,1,12,7,Sat,Yes,Q1
1/13/19,2019,1,13,1,Sun,Yes,Q1
1/14/19,2019,1,14,2,Mon,No,Q1
1/15/19,2019,1,15,3,Tue,No,Q1
1/16/19,2019,1,16,4,Wed,No,Q1
1/17/19,2019,1,17,5,Thu,No,Q1
1/18/19,2019,1,18,6,Fri,No,Q1
1/19/19,2019,1,19,7,Sat,Yes,Q1
1/20/19,2019,1,20,1,Sun,Yes,Q1
1/21/19,2019,1,21,2,Mon,No,Q1
1/22/19,2019,1,22,3,Tue,No,Q1
1/23/19,2019,1,23,4,Wed,No,Q1
1/24/19,2019,1,24,5,Thu,No,Q1
1/25/19,2019,1,25,6,Fri,No,Q1
1/26/19,2019,1,26,7,Sat,Yes,Q1
1/27/19,2019,1,27,1,Sun,Yes,Q1
1/28/19,2019,1,28,2,Mon,No,Q1
1/29/19,2019,1,29,3,Tue,No,Q1
1/30/19,2019,1,30,4,Wed,No,Q1
1/31/19,2019,1,31,5,Thu,No,Q1